year,Open,High,Low,Close*,Adj Close**,Volume,neu,pos,neg,compound,fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2015,15.237328244274808,15.481221374045802,15.00030534351145,15.257862595419848,15.257862595419848,66324802.78625954,0.8201933842239186,0.14391603053435115,0.03589885496183206,0.22752232824427482,2015-12-31,USD,923503000,4046025000,3122522000,2868242000,-716629000,922232000,717900000,1640132000,1508000,-118851000,None,118851000,-55765000,-41652000,None,422590000,-875624000,13039000,118851000,-888663000,-892197000,-756773000,-334183000,-888663000,USD,-574117000,41521000,None,323763000,7690000,278700000,1634850000,-46267000,369364000,-888663000,-1673551000,1523523000,703745000,None,None,None,None,None,None,730000000,None,120300000,976911000,None,-708805000,-34278000,-888663000,USD,8067939000,2782006000,1196908000,1196908000,1277838000,168965000,3416156000,3403334000,571126000,12816000,12816000,None,7300000,None,16700000,147857000,46858000,6936950000,2811035000,916148000,679132000,633166000,5239000,2851456000,None,441000000,627927000,1290000000,446239000,-633166000,364976000,1083704000,None,-2322323000,131000,131425000
2016,14.070518518518519,14.29437037037037,13.810296296296297,14.051333333333334,14.051333333333334,70126519.44444445,0.8436703703703704,0.10737037037037038,0.048953086419753086,0.11769377777777777,2016-12-31,USD,1599257000,7000132000,5400875000,4559939000,-667340000,1432189000,834408000,2266597000,8530000,-198810000,164180000,198810000,756309000,111272000,477300000,947099000,-648216000,26698000,198810000,-773046000,-695098000,-449406000,497693000,-674914000,USD,-123829000,55078000,None,1271058000,209112000,477300000,1280802000,213097000,632867000,-773046000,-1081085000,3743976000,769709000,None,None,None,None,None,None,1701734000,None,None,1865551000,None,2196308000,-7409000,-674914000,USD,22664076000,6259796000,3393000000,3393216000,2067454000,499142000,7350320000,5982957000,997485000,376145000,376145000,None,None,506302000,216000,299984000,216751000,16750167000,5827005000,1860341000,1614916000,1114652000,130441000,8640254000,1459684000,5892016000,984211000,None,6022457000,84492000,1891449000,4752911000,None,-2997237000,161000,161561000
2017,20.77765765765766,21.027387387387385,20.455225225225227,20.73018018018018,20.73018018018018,94739609.1891892,0.8141891891891891,0.12916666666666668,0.05666966966966967,0.1583451951951952,2017-12-31,USD,2223000000,11759000000,9536000000,7797183000,-1632000000,2477000000,1378000000,3855000000,19686000,-471259000,-259000,471000000,948469000,-125000000,769000000,1636003000,-1930000000,32000000,471259000,-2240578000,-1905000000,-1459000000,177003000,-1962000000,USD,-61000000,248266000,None,639372000,275569000,769300000,3414814000,24635000,179000000,-2241000000,-4196000000,4415000000,511321000,None,230385000,None,None,None,None,400000000,None,52883000,481789000,None,-25302000,39455000,-1962000000,USD,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,1801010000,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000
2018,20.991100917431194,21.420366972477066,20.54165137614679,20.98770642201835,20.98770642201835,133788609.7706422,0.766025993883792,0.1644892966360856,0.06948012232415902,0.16718180428134558,2018-12-31,USD,4042000000,21461000000,17419000000,85272000,-388000000,2835000000,1460000000,4430000000,24533000,-663071000,-71000,663000000,22184879000,22000000,1110000000,66000000,-918000000,58000000,663071000,-1062582000,-1018000000,-255000000,-189000000,-976000000,USD,2098000000,443545000,None,2289477000,1602121000,1268730000,2100724000,496732000,1023000000,-1063000000,-2337000000,574000000,None,None,11000,None,None,None,None,None,None,None,295711000,None,334129000,None,-976000000,USD,29740000000,8307000000,3686000000,3685618000,3113000000,949022000,13072152000,11330000000,2699000000,350000000,282000000,68000000,None,421548000,192551000,558222000,572000000,23427000000,9993000000,3405000000,2504000000,2222000000,2567699000,13164200000,1855900000,8411000000,2567699000,None,8410490000,372000000,2710000000,4923000000,None,-5317832000,0,172603000
2019,18.388861788617884,18.687560975609756,18.068699186991868,18.392439024390242,18.392439024390242,148927217.31707317,0.7460979674796748,0.16867615176151762,0.08518861788617886,0.18559433604336045,2019-12-31,USD,4069000000,24578000000,20509000000,193000000,-69000000,2646000000,1343000000,4138000000,44000000,-685000000,44000000,685000000,-98000000,45000000,1370000000,343000000,-752000000,110000000,685000000,-775000000,-890000000,-67000000,276000000,-862000000,USD,2405000000,1009000000,None,1592000000,969000000,1901000000,1332000000,367000000,429000000,-775000000,-1436000000,1529000000,None,None,None,None,None,None,None,848000000,None,174000000,1285000000,None,2498000000,None,-862000000,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,15251000000,10396000000,3734000000,537000000,339000000,198000000,None,1000000,None,959000000,1470000000,26199000000,10667000000,3771000000,3842000000,1399000000,785000000,6050000000,1232000000,10402000000,228000000,None,11187000000,260000000,2691000000,6618000000,None,-6083000000,1000000,181000000
